it,temp,actualQ,bestQ,p
2460000,45.8475,4127.34,4340.14,0.01
2470000,45.7331,4109.36,4340.14,1
2480000,45.6187,4149.65,4340.14,0.01
2490000,45.5042,4161.65,4340.14,0.01
2500000,45.3898,4100.85,4340.14,0.01
2510000,45.2753,4166.65,4340.14,1.25
2520000,45.1609,4158.65,4340.14,0.18
2530000,45.0465,4122.36,4340.14,0.01
2540000,44.932,4154.65,4340.14,0.01
2550000,44.8176,4127.36,4340.14,0.01
2560000,44.7031,4156.65,4340.14,0.21
2570000,44.5887,4150.36,4340.14,0.01
2580000,44.4743,4122.8,4340.14,0.01
2590000,44.3598,4148.65,4340.14,0.01
2600000,44.2454,4158.65,4340.14,0.01
2610000,44.1309,4131.05,4340.14,0.01
2620000,44.0165,4113.68,4340.14,9.7
2630000,43.902,4150.68,4340.14,0.01
2640000,43.7876,4130.39,4340.14,0.01
2650000,43.6732,4098.3,4340.14,0.01
2660000,43.5587,4120.3,4340.14,1
2670000,43.4443,4109.63,4340.14,0.01
2680000,43.3298,4136.68,4340.14,0.01
2690000,43.2154,4158.65,4340.14,1
2700000,43.101,4127.8,4340.14,1
2710000,42.9865,4149.65,4340.14,0.01
2720000,42.8721,4146.65,4340.14,0.04
2730000,42.7576,4146.65,4340.14,0.04
2740000,42.6432,4135.65,4340.14,0.01
2750000,42.5288,4150.65,4340.14,0.01
2760000,42.4143,4153.65,4340.14,0.01
2770000,42.2999,4163.65,4340.14,0.01
2780000,42.1854,4136.36,4340.14,0.01
2790000,42.071,4156.65,4340.14,0.01
2800000,41.9566,4156.65,4340.14,0.01
2810000,41.8421,4151.65,4340.14,0.01
2820000,41.7277,4149.63,4340.14,0.01
2830000,41.6132,4149.65,4340.14,0.01
2840000,41.4988,4141.65,4340.14,0.01
2850000,41.3843,4144.65,4340.14,1.28
2860000,41.2699,4142.65,4340.14,0.79
2870000,41.1555,4148.65,4340.14,0.01
2880000,41.041,4151.65,4340.14,1
2890000,40.9266,4158.65,4340.14,0.01
2900000,40.8121,4144.36,4340.14,0.01
2910000,40.6977,4135.51,4340.14,1
2920000,40.5833,4139.65,4340.14,0.01
2930000,40.4688,4126.65,4340.14,0.04
2940000,40.3544,4155.65,4340.14,0.01
2950000,40.2399,4163.65,4340.14,0.01
2960000,40.1255,4097.72,4340.14,0.14
2970000,40.0111,4126.32,4340.14,0.01
2980000,39.9311,4142.68,4340.14,0.01
2990000,39.8548,4114.8,4340.14,0.01
3000000,39.7785,4129.51,4340.14,1.66
3010000,39.7022,4140.65,4340.14,0.47
3020000,39.6259,4148.65,4340.14,1
3030000,39.5496,4137.85,4340.14,0.01
3040000,39.4733,4147.65,4340.14,0.78
3050000,39.397,4144.65,4340.14,0.01
3060000,39.3207,4131.31,4340.14,0.01
3070000,39.2444,4144.65,4340.14,0.01
3080000,39.1681,4125.36,4340.14,1.3
3090000,39.0918,4125.36,4340.14,0.01
3100000,39.0155,4149.65,4340.14,0.36
3110000,38.9393,4152.65,4340.14,1
3120000,38.863,4143.65,4340.14,0.01
3130000,38.7867,4142.65,4340.14,0.01
3140000,38.7104,4145.63,4340.14,0.01
3150000,38.6341,4137.41,4340.14,0.01
3160000,38.5578,4132.39,4340.14,0.01
3170000,38.4815,4127.63,4340.14,0.01
3180000,38.4052,4121.41,4340.14,0.01
3190000,38.3289,4120.6,4340.14,0.01
3200000,38.2526,4153.65,4340.14,1
3210000,38.1763,4166.65,4340.14,0.01
3220000,38.1,4156.36,4340.14,0
3230000,38.0237,4165.65,4340.14,0.01
3240000,37.9474,4156.65,4340.14,0.01
3250000,37.8711,4154.65,4340.14,0.01
3260000,37.7948,4140.65,4340.14,0.77
3270000,37.7186,4144.36,4340.14,1
3280000,37.6423,4147.65,4340.14,0.01
3290000,37.566,4142.65,4340.14,0.01
3300000,37.4897,4150.65,4340.14,0.77
3310000,37.4134,4155.65,4340.14,0.01
3320000,37.3371,4168.65,4340.14,1.31
3330000,37.2608,4129.36,4340.14,1
3340000,37.1845,4137.36,4340.14,0.01
3350000,37.1082,4144.65,4340.14,0.01
3360000,37.0319,4151.65,4340.14,0.01
3370000,36.9556,4159.65,4340.14,0.01
3380000,36.8793,4141.37,4340.14,0.01
3390000,36.803,4129.65,4340.14,1
3400000,36.7267,4146.65,4340.14,0.01
3410000,36.6504,4165.65,4340.14,0.01
3420000,36.5741,4151.65,4340.14,1
3430000,36.4978,4142.36,4340.14,0.01
3440000,36.4216,4160.65,4340.14,0.01
3450000,36.3453,4152.36,4340.14,0.01
3460000,36.269,4158.65,4340.14,1
3470000,36.1927,4159.65,4340.14,0.01
3480000,36.1164,4140.65,4340.14,6.95
3490000,36.0401,4139.65,4340.14,0.01
3500000,35.9638,4166.65,4340.14,0.01
3510000,35.8875,4158.65,4340.14,0.01
3520000,35.8112,4150.65,4340.14,0.01
3530000,35.7349,4148.36,4340.14,0.11
3540000,35.6586,4145.65,4340.14,0.11
3550000,35.5823,4153.65,4340.14,1
3560000,35.506,4157.65,4340.14,1
3570000,35.4297,4144.65,4340.14,0.01
3580000,35.3534,4132.85,4340.14,0.01
3590000,35.2771,4161.65,4340.14,0.01
3600000,35.2009,4158.65,4340.14,1
3610000,35.1246,4162.65,4340.14,0.01
3620000,35.0483,4161.65,4340.14,0.01
3630000,34.972,4130.36,4340.14,1
3640000,34.8957,4130.36,4340.14,0.01
3650000,34.8194,4157.36,4340.14,0.01
3660000,34.7431,4151.65,4340.14,0.01
3670000,34.6668,4157.36,4340.14,0.01
3680000,34.5905,4166.65,4340.14,0.01
3690000,34.5142,4142.65,4340.14,0.01
3700000,34.4379,4161.65,4340.14,0.01
3710000,34.3616,4159.65,4340.14,0.01
3720000,34.2853,4135.63,4340.14,1
3730000,34.209,4139.65,4340.14,0.01
3740000,34.1327,4158.65,4340.14,0.01
3750000,34.0564,4148.65,4340.14,0.01
3760000,33.9801,4159.65,4340.14,0.01
3770000,33.9039,4147.65,4340.14,0.75
3780000,33.8276,4151.36,4340.14,0.01
3790000,33.7513,4143.65,4340.14,0.01
3800000,33.675,4149.65,4340.14,0.01
3810000,33.5987,4152.65,4340.14,0.01
3820000,33.5224,4154.65,4340.14,0.01
3830000,33.4461,4135.36,4340.14,0.01
3840000,33.3698,4149.36,4340.14,0.01
3850000,33.2935,4166.65,4340.14,0
3860000,33.2172,4143.65,4340.14,0
3870000,33.1409,4159.65,4340.14,1
3880000,33.0646,4167.65,4340.14,0.01
3890000,32.9883,4158.65,4340.14,0.01
3900000,32.912,4157.65,4340.14,0.01
3910000,32.8357,4158.65,4340.14,0.01
3920000,32.7594,4165.65,4340.14,0.01
3930000,32.6832,4141.65,4340.14,0.01
3940000,32.6069,4153.65,4340.14,0.01
3950000,32.5306,4125.63,4340.14,0.01
3960000,32.4543,4138.63,4340.14,0.01
3970000,32.378,4152.68,4340.14,0.01
3980000,32.3017,4138.68,4340.14,0
3990000,32.2254,4167.65,4340.14,0.01
4000000,32.1491,4161.65,4340.14,0.01
4010000,32.0728,4163.65,4340.14,1.87
4020000,31.9965,4167.65,4340.14,0.01
4030000,31.9202,4167.65,4340.14,0.01
4040000,31.8439,4162.65,4340.14,0.01
4050000,31.7676,4161.65,4340.14,0.01
4060000,31.6913,4165.65,4340.14,0.01
4070000,31.615,4141.36,4340.14,0.01
4080000,31.5387,4135.65,4340.14,1
4090000,31.4624,4136.36,4340.14,1
4100000,31.3862,4147.65,4340.14,0.01
4110000,31.3099,4165.65,4340.14,0.01
4120000,31.2336,4138.65,4340.14,0.01
4130000,31.1573,4155.65,4340.14,0.73
4140000,31.081,4161.65,4340.14,0.01
4150000,31.0047,4146.65,4340.14,0.01
4160000,30.9284,4155.65,4340.14,0.01
4170000,30.8521,4156.65,4340.14,0
4180000,30.7758,4153.36,4340.14,1
4190000,30.6995,4148.36,4340.14,1.92
4200000,30.6232,4153.36,4340.14,0.01
4210000,30.5469,4148.65,4340.14,0.01
4220000,30.4706,4143.65,4340.14,1
4230000,30.3943,4132.36,4340.14,1
4240000,30.318,4154.65,4340.14,1
4250000,30.2417,4154.65,4340.14,1
4260000,30.1655,4167.65,4340.14,0.01
4270000,30.0892,4133.36,4340.14,0.01
4280000,30.0129,4157.36,4340.14,1
4290000,29.9366,4160.65,4340.14,0.01
4300000,29.8603,4154.65,4340.14,0.01
4310000,29.784,4164.65,4340.14,0.01
4320000,29.7077,4142.8,4340.14,0.01
4330000,29.6314,4152.65,4340.14,0.01
4340000,29.5551,4136.65,4340.14,0.01
4350000,29.4788,4150.65,4340.14,0.01
4360000,29.4025,4167.65,4340.14,0.01
4370000,29.3262,4152.65,4340.14,0
4380000,29.2499,4154.65,4340.14,0.01
4390000,29.1736,4167.65,4340.14,0.01
4400000,29.0973,4161.65,4340.14,0.18
4410000,29.021,4166.65,4340.14,0.01
4420000,28.9447,4158.65,4340.14,0.01
4430000,28.8685,4166.65,4340.14,0.07
4440000,28.7922,4163.65,4340.14,0.01
4450000,28.7159,4140.65,4340.14,0.01
4460000,28.6396,4166.65,4340.14,0.01
4470000,28.5633,4165.65,4340.14,0.01
4480000,28.487,4137.39,4340.14,0.01
4490000,28.4107,4134.39,4340.14,0.09
4500000,28.3344,4151.36,4340.14,0.01
4510000,28.2581,4161.65,4340.14,0
4520000,28.1818,4146.65,4340.14,1.43
4530000,28.1055,4158.65,4340.14,0.01
4540000,28.0292,4151.65,4340.14,0.01
4550000,27.9647,4158.65,4340.14,0
4560000,27.9075,4165.65,4340.14,0
4570000,27.8503,4157.65,4340.14,0
4580000,27.793,4158.65,4340.14,0.01
4590000,27.7358,4156.65,4340.14,0.01
4600000,27.6786,4167.65,4340.14,0.01
4610000,27.6214,4153.65,4340.14,0
4620000,27.5641,4157.65,4340.14,1
4630000,27.5069,4155.65,4340.14,0.01
4640000,27.4497,4148.65,4340.14,0.01
4650000,27.3925,4166.65,4340.14,0.01
4660000,27.3353,4145.65,4340.14,0.17
4670000,27.278,4152.65,4340.14,1
4680000,27.2208,4151.36,4340.14,0.01
4690000,27.1636,4155.36,4340.14,0.03
4700000,27.1064,4148.65,4340.14,1
4710000,27.0492,4167.65,4340.14,0.01
4720000,26.9919,4165.65,4340.14,0.01
4730000,26.9347,4166.65,4340.14,0.01
